#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B1F4EF
#Device Plus: Discovery2
#Serial Plus: SN:210321B1F3F6
#Date Time: 2024-12-11 12:03:17.499
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2.4 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: -2.5 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: -2.5 V Sample Mode: Average
#Channel 3: Range: 1 V/div Offset: -2.5 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 2.5 V
#Offset: 2.5 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Square
#Frequency: 500 Hz
#Period: 2 ms
#Amplitude: 2.5 V
#Offset: 2.5 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -5 V

Time (s)	Channel 1 (V)	Channel 2 (V)	Channel 3 (V)
-0.001790484518808522	4.994850072374365	4.764244480488788	-0.01845406153809792
-0.001789854518808522	4.991129742032063	4.767975363414097	-0.01476479423318001
-0.001789224518808522	4.994850072374365	4.767975363414099	-0.01107552692825919
-0.001788594518808522	4.99112974203206	4.771706246339409	-0.01107552692825919
-0.001787964518808522	4.987409411689759	4.771706246339409	-0.01107552692825919
-0.001787334518808522	4.983689081347456	4.771706246339409	-0.01107552692825919
-0.001786704518808522	4.991129742032058	4.764244480488792	-0.01107552692825919
-0.001786074518808522	4.991129742032062	4.760513597563477	-0.007386259623340052
-0.001785444518808522	4.994850072374365	4.764244480488788	-0.003696992318420911
-0.001784814518808522	4.987409411689763	4.764244480488788	-0.003696992318420911
-0.001784184518808522	4.987409411689759	4.767975363414099	-0.007386259623340052
-0.001783554518808522	4.987409411689761	4.767975363414099	-0.007386259623340052
-0.001782924518808522	4.991129742032062	4.767975363414099	-0.007386259623340052
-0.001782294518808522	4.991129742032062	4.771706246339409	-0.01107552692825919
-0.001781664518808522	4.987409411689759	4.7679753634141	-0.007386259623336697
-0.001781034518808522	4.987409411689759	4.771706246339409	-7.72501350176924e-06
-0.001780404518808522	4.991129742032062	4.771706246339409	-0.007386259623340052
-0.001779774518808522	4.987409411689761	4.771706246339409	-0.01107552692825752
-0.001779144518808522	4.987409411689759	4.77543712926472	-0.01107552692825919
-0.001778514518808522	4.987409411689757	4.764244480488792	-0.003696992318420911
-0.001777884518808522	4.983689081347456	4.771706246339409	-0.003696992318420911
-0.001777254518808522	4.987409411689759	4.767975363414099	-0.007386259623340052
-0.001776624518808522	4.991129742032062	4.771706246339409	-0.01107552692825752
-0.001775994518808522	4.991129742032062	4.771706246339409	-0.007386259623340052
-0.001775364518808522	4.983689081347456	4.767975363414099	-0.01107552692825919
-0.001774734518808522	4.983689081347456	4.767975363414099	-0.003696992318424266
-0.001774104518808522	4.987409411689759	4.764244480488788	-0.01476479423317834
-0.001773474518808522	4.99112974203206	4.76424448048879	-0.01107552692825752
-0.001772844518808522	4.987409411689759	4.767975363414099	-0.007386259623340052
-0.001772214518808522	4.987409411689759	4.77543712926472	-0.007386259623340052
-0.001771584518808522	4.987409411689761	4.771706246339411	-0.00738625962334173
-0.001770954518808522	4.991129742032062	4.77543712926472	-0.01107552692825919
-0.001770324518808522	4.987409411689759	4.771706246339409	-0.01845406153809792
-0.001769694518808522	4.99112974203206	4.771706246339409	-0.01107552692826255
-0.001769064518808522	4.987409411689759	4.771706246339409	-0.01107552692825919
-0.001768434518808522	4.983689081347456	4.77543712926472	-0.007386259623340052
-0.001767804518808522	4.987409411689759	4.771706246339409	-0.01107552692825919
-0.001767174518808522	4.991129742032062	4.771706246339409	-0.007386259623340052
-0.001766544518808522	4.99112974203206	4.771706246339409	-0.007386259623340052
-0.001765914518808522	4.987409411689759	4.771706246339409	-0.007386259623340052
-0.001765284518808522	4.987409411689759	4.767975363414099	-7.72501350176924e-06
-0.001764654518808522	4.983689081347458	4.767975363414099	-0.007386259623336697
-0.001764024518808522	4.987409411689759	4.771706246339409	-0.01107552692825919
-0.001763394518808522	4.987409411689759	4.771706246339409	-0.007386259623340052
-0.001762764518808522	4.987409411689759	4.779168012190031	-0.007386259623340052
-0.001762134518808522	4.983689081347456	4.77543712926472	-0.01107552692825919
-0.001761504518808522	4.983689081347458	4.775437129264718	-0.00738625962334173
-0.001760874518808522	4.987409411689759	4.771706246339409	-0.01107552692825919
-0.001760244518808522	4.987409411689759	4.771706246339409	-0.01107552692825919
-0.001759614518808522	4.987409411689759	4.775437129264718	-0.003696992318424266
-0.001758984518808522	4.987409411689759	4.771706246339409	-7.72501350176924e-06
-0.001758354518808522	4.991129742032062	4.767975363414099	-0.003696992318420911
-0.001757724518808522	4.991129742032062	4.76424448048879	-0.01107552692825584
-0.001757094518808522	4.987409411689759	4.760513597563477	-0.007386259623340052
-0.001756464518808522	4.987409411689761	4.7679753634141	-0.00738625962334173
-0.001755834518808522	4.991129742032062	4.771706246339409	-0.01107552692825919
-0.001755204518808522	4.994850072374365	4.767975363414099	-0.01107552692825919
-0.001754574518808522	4.994850072374365	4.767975363414099	-0.01107552692825919
-0.001753944518808522	4.987409411689759	4.767975363414099	-0.01107552692825919
-0.001753314518808522	4.987409411689759	4.771706246339409	-0.007386259623340052
-0.001752684518808522	4.983689081347458	4.771706246339409	-0.01107552692825752
