*	Out	VM1	VM2
-0,00183274885955598	-2,70374108112587	-0,511111655786791	-1,87671931633894
-0,00163274885954934	-2,70365261413853	-0,474158674121137	-1,93650737192606
-0,00143274885957112	-2,70333223449835	-0,439842411700401	-1,99193380575113
-0,00123274885956448	-2,70230639176502	-0,407912450115514	-2,04323994373522
-0,00103274885955784	-2,69942903567821	-0,378033243635137	-2,09052219734253
-0,000832748859551202	-2,69240766373245	-0,349694799090849	-2,13361574092471
-0,000632748859572985	-2,67592236301625	-0,321972670960363	-2,1717918063133
-0,000530503720227671	-2,65730786662491	-0,307430166918864	-2,18879201009754
-0,000463750515876882	-2,63139138077785	-0,297176283168302	-2,19831060010027
-0,000435829589747527	-2,61125263266812	-0,292491666863143	-2,20169247913736
-0,000406809262017305	-2,57840689485584	-0,287073775114734	-2,20451520347501
-0,000383940277998818	-2,54265314417119	-0,282222249562595	-2,20604205944271
-0,000361527337133793	-2,5003732552489	-0,276825596793349	-2,20678390068916
-0,000342058718075577	-2,45830806165298	-0,271539859755112	-2,20672831307011
-0,000320141645687499	-2,40467977272176	-0,264833144454816	-2,20578041767775
-0,000286668411234814	-2,30814287238957	-0,252799184363188	-2,20223047446342
-0,00023032364273945	-2,09540874668523	-0,226438480468026	-2,18906135227794
-0,000134115024621906	-1,49977272221778	-0,154438407143313	-2,13470559569024
-8,84619719840884E-5	-1,05663438010507	-0,104084763248354	-2,08991467934473
-5,22168856491589E-5	-0,575364198869106	-0,0530878883530661	-2,04158028028997
-2,89812480218643E-5	-0,193111654041118	-0,0138043644730279	-2,003002263568
0	0,377238958502231	0,0444757319939465	-1,9442234970632
3,97839495286378E-5	1,33051039159081	0,144970127343042	-1,83989605706869
7,77639275167941E-5	2,33503960211523	0,264476907228718	-1,7125720010527
8,90460127409565E-5	2,62602450400911	0,304274905479299	-1,66960283698178
9,70540954828847E-5	2,67560239590097	0,332803870506898	-1,63856714938833
0,000103580586796381	2,68982128136989	0,355867401063939	-1,61329909511204
0,000109473311064257	2,69661198209648	0,376416660264715	-1,59063444241754
